id_prueba,id_asignacion,descripcion,tipo,fecha_ejecucion,resultado,severidad_defecto,tiempo_resolucion_horas
118,20,Prueba auto 118,sistema,2021-05-14,éxito,nula,0
119,20,Prueba auto 119,integración,2021-03-23,éxito,nula,0
120,20,Prueba auto 120,integración,2021-07-07,éxito,nula,0
121,20,Prueba auto 121,integración,2021-07-16,éxito,nula,0
122,20,Prueba auto 122,sistema,2021-07-09,fallo,media,2
123,20,Prueba auto 123,sistema,2021-07-09,éxito,nula,0
124,20,Prueba auto 124,integración,2021-08-23,fallo,media,4
125,20,Prueba auto 125,integración,2021-05-26,éxito,nula,0
126,20,Prueba auto 126,integración,2021-04-07,fallo,media,4
127,20,Prueba auto 127,sistema,2021-07-02,éxito,nula,0
128,20,Prueba auto 128,sistema,2021-04-23,éxito,nula,0
129,20,Prueba auto 129,integración,2021-06-16,éxito,nula,0
130,20,Prueba auto 130,integración,2021-07-26,fallo,media,3
131,20,Prueba auto 131,integración,2021-07-16,éxito,nula,0
132,20,Prueba auto 132,sistema,2021-07-17,fallo,baja,1
133,20,Prueba auto 133,sistema,2021-07-28,éxito,nula,0
134,27,Prueba auto 134,sistema,2021-07-27,éxito,nula,0
135,27,Prueba auto 135,integración,2021-07-01,fallo,alta,6
136,27,Prueba auto 136,integración,2021-06-07,éxito,nula,0
137,27,Prueba auto 137,sistema,2021-07-12,éxito,nula,0
138,27,Prueba auto 138,integración,2021-07-14,éxito,nula,0
139,27,Prueba auto 139,sistema,2021-07-03,éxito,nula,0
140,27,Prueba auto 140,sistema,2021-07-23,éxito,nula,0
141,27,Prueba auto 141,integración,2021-03-06,éxito,nula,0
142,27,Prueba auto 142,integración,2021-08-24,éxito,nula,0
143,27,Prueba auto 143,sistema,2021-08-10,éxito,nula,0
144,27,Prueba auto 144,sistema,2021-07-17,éxito,nula,0
145,27,Prueba auto 145,integración,2021-04-06,éxito,nula,0
146,27,Prueba auto 146,sistema,2021-05-21,fallo,baja,6
147,27,Prueba auto 147,sistema,2021-04-16,fallo,media,7
148,27,Prueba auto 148,integración,2021-06-21,éxito,nula,0
149,27,Prueba auto 149,sistema,2021-03-24,éxito,nula,0
150,27,Prueba auto 150,integración,2021-07-28,éxito,nula,0
151,27,Prueba auto 151,sistema,2021-04-26,éxito,nula,0
152,27,Prueba auto 152,sistema,2021-05-02,éxito,nula,0
153,27,Prueba auto 153,sistema,2021-06-14,éxito,nula,0
154,27,Prueba auto 154,sistema,2021-07-14,fallo,media,7
155,27,Prueba auto 155,sistema,2021-05-30,éxito,nula,0
156,27,Prueba auto 156,integración,2021-05-04,éxito,nula,0
157,27,Prueba auto 157,sistema,2021-05-26,éxito,nula,0
158,27,Prueba auto 158,integración,2021-08-05,éxito,nula,0
159,27,Prueba auto 159,integración,2021-06-11,éxito,nula,0
160,27,Prueba auto 160,integración,2021-07-05,éxito,nula,0
161,27,Prueba auto 161,sistema,2021-08-05,fallo,crítica,3
162,27,Prueba auto 162,integración,2021-06-07,éxito,nula,0
163,30,Prueba auto 163,sistema,2024-10-09,éxito,nula,0
164,30,Prueba auto 164,integración,2024-09-15,éxito,nula,0
165,30,Prueba auto 165,integración,2024-09-22,fallo,baja,7
166,30,Prueba auto 166,integración,2024-08-23,fallo,baja,2
167,30,Prueba auto 167,sistema,2024-11-04,éxito,nula,0
168,30,Prueba auto 168,integración,2024-10-31,éxito,nula,0
169,30,Prueba auto 169,integración,2024-10-05,fallo,alta,1
170,30,Prueba auto 170,integración,2024-10-23,éxito,nula,0
171,30,Prueba auto 171,sistema,2024-10-27,éxito,nula,0
172,30,Prueba auto 172,integración,2024-10-30,éxito,nula,0
173,30,Prueba auto 173,sistema,2024-10-05,éxito,nula,0
174,30,Prueba auto 174,integración,2024-10-21,éxito,nula,0
175,30,Prueba auto 175,integración,2024-10-26,éxito,nula,0
176,30,Prueba auto 176,integración,2024-09-22,éxito,nula,0
177,30,Prueba auto 177,sistema,2024-10-18,éxito,nula,0
178,30,Prueba auto 178,sistema,2024-09-24,éxito,nula,0
179,30,Prueba auto 179,integración,2024-11-16,éxito,nula,0
180,30,Prueba auto 180,integración,2024-10-29,éxito,nula,0
181,30,Prueba auto 181,sistema,2024-11-02,éxito,nula,0
182,30,Prueba auto 182,integración,2024-11-19,éxito,nula,0
183,30,Prueba auto 183,integración,2024-11-15,éxito,nula,0
184,30,Prueba auto 184,sistema,2024-09-29,éxito,nula,0
185,30,Prueba auto 185,integración,2024-09-25,éxito,nula,0
186,30,Prueba auto 186,sistema,2024-10-15,éxito,nula,0
187,30,Prueba auto 187,sistema,2024-11-01,éxito,nula,0
188,30,Prueba auto 188,integración,2024-10-22,éxito,nula,0
189,35,Prueba auto 189,sistema,2020-03-29,éxito,nula,0
190,35,Prueba auto 190,sistema,2020-02-15,éxito,nula,0
191,35,Prueba auto 191,sistema,2019-12-23,éxito,nula,0
192,35,Prueba auto 192,integración,2020-03-17,éxito,nula,0
193,35,Prueba auto 193,integración,2020-03-13,éxito,nula,0
194,35,Prueba auto 194,sistema,2020-01-31,éxito,nula,0
195,35,Prueba auto 195,integración,2020-03-13,éxito,nula,0
196,35,Prueba auto 196,sistema,2020-02-19,éxito,nula,0
197,35,Prueba auto 197,integración,2020-01-17,éxito,nula,0
198,35,Prueba auto 198,sistema,2020-03-11,éxito,nula,0
199,35,Prueba auto 199,integración,2020-02-06,fallo,media,4
200,35,Prueba auto 200,sistema,2020-02-13,éxito,nula,0
201,35,Prueba auto 201,sistema,2020-02-04,éxito,nula,0
202,35,Prueba auto 202,integración,2020-03-07,éxito,nula,0
203,35,Prueba auto 203,integración,2020-02-15,fallo,crítica,6
204,35,Prueba auto 204,integración,2020-02-16,éxito,nula,0
205,35,Prueba auto 205,sistema,2020-01-31,éxito,nula,0
206,35,Prueba auto 206,integración,2020-02-13,éxito,nula,0
207,35,Prueba auto 207,sistema,2020-02-10,éxito,nula,0
208,35,Prueba auto 208,integración,2020-03-12,éxito,nula,0
209,35,Prueba auto 209,integración,2020-02-12,éxito,nula,0
210,35,Prueba auto 210,sistema,2020-03-11,éxito,nula,0
211,49,Prueba auto 211,integración,2025-11-23,éxito,nula,0
212,49,Prueba auto 212,sistema,2025-11-21,éxito,nula,0
213,49,Prueba auto 213,integración,2025-11-21,éxito,nula,0
214,49,Prueba auto 214,sistema,2025-11-23,éxito,nula,0
215,49,Prueba auto 215,sistema,2025-11-22,fallo,baja,7
216,49,Prueba auto 216,sistema,2025-11-25,éxito,nula,0
217,49,Prueba auto 217,sistema,2025-11-17,fallo,alta,8
218,49,Prueba auto 218,sistema,2025-11-23,éxito,nula,0
219,49,Prueba auto 219,sistema,2025-11-25,éxito,nula,0
220,49,Prueba auto 220,sistema,2025-11-24,éxito,nula,0
221,49,Prueba auto 221,integración,2025-11-24,éxito,nula,0
222,49,Prueba auto 222,integración,2025-11-22,fallo,media,3
223,49,Prueba auto 223,integración,2025-11-19,éxito,nula,0
224,49,Prueba auto 224,integración,2025-11-20,fallo,media,7
225,49,Prueba auto 225,integración,2025-11-23,fallo,media,8
226,49,Prueba auto 226,sistema,2025-11-21,fallo,crítica,2
227,49,Prueba auto 227,integración,2025-11-22,éxito,nula,0
228,49,Prueba auto 228,sistema,2025-11-19,éxito,nula,0
229,49,Prueba auto 229,sistema,2025-11-20,éxito,nula,0
230,49,Prueba auto 230,sistema,2025-11-23,éxito,nula,0
231,49,Prueba auto 231,integración,2025-11-22,éxito,nula,0
232,49,Prueba auto 232,integración,2025-11-22,éxito,nula,0
233,49,Prueba auto 233,integración,2025-11-20,éxito,nula,0
234,49,Prueba auto 234,sistema,2025-11-25,éxito,nula,0
235,49,Prueba auto 235,integración,2025-11-14,éxito,nula,0
236,49,Prueba auto 236,sistema,2025-11-21,éxito,nula,0
237,49,Prueba auto 237,integración,2025-11-25,fallo,alta,2
238,49,Prueba auto 238,sistema,2025-11-23,fallo,baja,7
239,49,Prueba auto 239,sistema,2025-11-21,éxito,nula,0
240,49,Prueba auto 240,sistema,2025-11-23,fallo,alta,6
241,49,Prueba auto 241,integración,2025-11-24,éxito,nula,0
242,49,Prueba auto 242,integración,2025-11-22,éxito,nula,0
243,49,Prueba auto 243,sistema,2025-11-18,éxito,nula,0
244,49,Prueba auto 244,sistema,2025-11-20,fallo,media,7
245,67,Prueba auto 245,sistema,2020-10-07,éxito,nula,0
246,67,Prueba auto 246,sistema,2020-08-05,fallo,baja,1
247,67,Prueba auto 247,integración,2020-09-14,éxito,nula,0
248,67,Prueba auto 248,sistema,2020-12-01,éxito,nula,0
249,67,Prueba auto 249,sistema,2020-10-15,éxito,nula,0
250,67,Prueba auto 250,sistema,2020-10-08,fallo,alta,1
251,67,Prueba auto 251,integración,2020-11-09,éxito,nula,0
252,67,Prueba auto 252,integración,2020-10-24,fallo,media,1
253,67,Prueba auto 253,integración,2020-11-02,éxito,nula,0
254,67,Prueba auto 254,sistema,2020-09-11,fallo,baja,8
255,67,Prueba auto 255,integración,2020-09-04,éxito,nula,0
256,67,Prueba auto 256,integración,2020-10-06,éxito,nula,0
257,67,Prueba auto 257,sistema,2020-11-04,éxito,nula,0
258,67,Prueba auto 258,sistema,2020-09-22,fallo,baja,6
259,67,Prueba auto 259,sistema,2020-10-26,éxito,nula,0
260,67,Prueba auto 260,sistema,2020-11-19,éxito,nula,0
261,67,Prueba auto 261,sistema,2020-11-04,éxito,nula,0
262,67,Prueba auto 262,sistema,2020-10-21,fallo,baja,3
263,67,Prueba auto 263,sistema,2020-10-29,fallo,alta,8
264,67,Prueba auto 264,integración,2020-11-20,éxito,nula,0
265,67,Prueba auto 265,integración,2020-11-15,éxito,nula,0
266,67,Prueba auto 266,sistema,2020-09-25,éxito,nula,0
267,67,Prueba auto 267,sistema,2020-10-31,éxito,nula,0
268,67,Prueba auto 268,sistema,2020-12-02,éxito,nula,0
269,67,Prueba auto 269,integración,2020-11-12,éxito,nula,0
270,67,Prueba auto 270,integración,2020-09-08,éxito,nula,0
271,67,Prueba auto 271,sistema,2020-10-14,éxito,nula,0
272,67,Prueba auto 272,sistema,2020-10-01,éxito,nula,0
273,67,Prueba auto 273,sistema,2020-11-23,fallo,baja,8
274,67,Prueba auto 274,sistema,2020-11-16,fallo,media,6
275,67,Prueba auto 275,integración,2020-11-23,éxito,nula,0
276,67,Prueba auto 276,sistema,2020-09-27,éxito,nula,0
277,67,Prueba auto 277,sistema,2020-07-29,éxito,nula,0
278,67,Prueba auto 278,integración,2020-09-14,éxito,nula,0
279,67,Prueba auto 279,integración,2020-10-17,éxito,nula,0
280,67,Prueba auto 280,integración,2020-11-18,éxito,nula,0
281,67,Prueba auto 281,integración,2020-10-22,éxito,nula,0
282,67,Prueba auto 282,sistema,2020-11-27,fallo,alta,2
283,67,Prueba auto 283,integración,2020-10-19,éxito,nula,0
284,67,Prueba auto 284,integración,2020-10-20,éxito,nula,0
285,67,Prueba auto 285,sistema,2020-10-23,éxito,nula,0
286,67,Prueba auto 286,integración,2020-10-19,éxito,nula,0
287,67,Prueba auto 287,sistema,2020-11-11,éxito,nula,0
288,67,Prueba auto 288,integración,2020-11-11,éxito,nula,0
289,67,Prueba auto 289,integración,2020-11-02,éxito,nula,0
290,67,Prueba auto 290,integración,2020-11-05,éxito,nula,0
291,67,Prueba auto 291,integración,2020-10-26,fallo,crítica,6
292,67,Prueba auto 292,sistema,2020-11-05,fallo,media,3
293,67,Prueba auto 293,integración,2020-09-19,éxito,nula,0
294,67,Prueba auto 294,sistema,2020-10-19,éxito,nula,0
295,67,Prueba auto 295,sistema,2020-09-16,fallo,media,4
296,67,Prueba auto 296,integración,2020-08-25,éxito,nula,0
297,67,Prueba auto 297,integración,2020-11-04,éxito,nula,0
298,69,Prueba auto 298,sistema,2020-11-15,éxito,nula,0
299,69,Prueba auto 299,integración,2020-09-05,fallo,media,8
300,69,Prueba auto 300,integración,2020-08-23,fallo,alta,8
301,69,Prueba auto 301,sistema,2020-11-01,fallo,alta,8
302,69,Prueba auto 302,sistema,2020-08-28,éxito,nula,0
303,69,Prueba auto 303,integración,2020-10-26,éxito,nula,0
304,69,Prueba auto 304,integración,2020-09-05,éxito,nula,0
305,69,Prueba auto 305,integración,2020-11-14,fallo,media,2
306,69,Prueba auto 306,integración,2020-09-04,éxito,nula,0
307,69,Prueba auto 307,sistema,2020-11-03,éxito,nula,0
308,69,Prueba auto 308,integración,2020-11-15,éxito,nula,0
309,69,Prueba auto 309,sistema,2020-10-31,éxito,nula,0
310,69,Prueba auto 310,integración,2020-08-13,éxito,nula,0
311,69,Prueba auto 311,sistema,2020-11-22,éxito,nula,0
312,69,Prueba auto 312,sistema,2020-09-24,fallo,media,8
313,69,Prueba auto 313,sistema,2020-11-09,fallo,alta,5
314,69,Prueba auto 314,sistema,2020-10-07,éxito,nula,0
315,69,Prueba auto 315,sistema,2020-11-01,éxito,nula,0
316,69,Prueba auto 316,integración,2020-11-05,fallo,crítica,8
317,69,Prueba auto 317,sistema,2020-11-02,éxito,nula,0
318,69,Prueba auto 318,sistema,2020-11-10,éxito,nula,0
319,69,Prueba auto 319,integración,2020-10-31,éxito,nula,0
320,69,Prueba auto 320,sistema,2020-10-18,éxito,nula,0
321,69,Prueba auto 321,sistema,2020-09-24,éxito,nula,0
322,69,Prueba auto 322,sistema,2020-10-17,éxito,nula,0
323,69,Prueba auto 323,integración,2020-10-18,éxito,nula,0
324,69,Prueba auto 324,integración,2020-09-24,éxito,nula,0
325,69,Prueba auto 325,integración,2020-11-27,éxito,nula,0
326,69,Prueba auto 326,sistema,2020-10-01,éxito,nula,0
327,69,Prueba auto 327,sistema,2020-10-11,éxito,nula,0
328,69,Prueba auto 328,sistema,2020-09-01,fallo,alta,4
329,69,Prueba auto 329,integración,2020-11-04,éxito,nula,0
330,69,Prueba auto 330,integración,2020-12-06,éxito,nula,0
331,69,Prueba auto 331,sistema,2020-11-18,éxito,nula,0
332,69,Prueba auto 332,integración,2020-08-05,éxito,nula,0
333,69,Prueba auto 333,sistema,2020-11-23,éxito,nula,0
334,69,Prueba auto 334,integración,2020-10-16,fallo,media,2
335,69,Prueba auto 335,integración,2020-10-12,éxito,nula,0
336,69,Prueba auto 336,integración,2020-07-31,éxito,nula,0
337,69,Prueba auto 337,sistema,2020-10-17,éxito,nula,0
338,69,Prueba auto 338,integración,2020-09-03,éxito,nula,0
339,69,Prueba auto 339,sistema,2020-11-18,éxito,nula,0
340,69,Prueba auto 340,sistema,2020-09-28,fallo,media,3
341,69,Prueba auto 341,integración,2020-10-28,fallo,baja,1
342,72,Prueba auto 342,integración,2024-11-13,éxito,nula,0
343,72,Prueba auto 343,sistema,2025-01-19,éxito,nula,0
344,72,Prueba auto 344,sistema,2024-07-03,éxito,nula,0
345,72,Prueba auto 345,integración,2024-10-05,éxito,nula,0
346,72,Prueba auto 346,integración,2024-09-26,fallo,alta,1
347,72,Prueba auto 347,integración,2025-02-13,éxito,nula,0
348,72,Prueba auto 348,sistema,2024-12-17,éxito,nula,0
349,72,Prueba auto 349,integración,2024-09-19,éxito,nula,0
350,72,Prueba auto 350,integración,2024-12-07,éxito,nula,0
351,72,Prueba auto 351,integración,2024-11-28,éxito,nula,0
352,72,Prueba auto 352,integración,2025-01-09,éxito,nula,0
353,72,Prueba auto 353,integración,2024-11-25,fallo,media,6
354,72,Prueba auto 354,integración,2024-12-25,éxito,nula,0
355,72,Prueba auto 355,sistema,2024-11-20,éxito,nula,0
356,72,Prueba auto 356,integración,2025-01-10,éxito,nula,0
357,72,Prueba auto 357,integración,2024-10-08,éxito,nula,0
358,72,Prueba auto 358,sistema,2024-12-11,éxito,nula,0
359,72,Prueba auto 359,sistema,2025-01-15,éxito,nula,0
360,72,Prueba auto 360,integración,2024-08-02,fallo,media,2
361,72,Prueba auto 361,sistema,2024-11-21,éxito,nula,0
362,72,Prueba auto 362,sistema,2024-08-07,éxito,nula,0
363,72,Prueba auto 363,sistema,2024-12-30,éxito,nula,0
364,72,Prueba auto 364,integración,2025-02-04,éxito,nula,0
365,72,Prueba auto 365,integración,2024-09-10,éxito,nula,0
366,72,Prueba auto 366,integración,2025-02-20,éxito,nula,0
367,72,Prueba auto 367,integración,2024-10-07,éxito,nula,0
368,72,Prueba auto 368,sistema,2024-12-09,éxito,nula,0
369,72,Prueba auto 369,sistema,2024-10-08,éxito,nula,0
370,72,Prueba auto 370,sistema,2024-12-28,fallo,crítica,5
371,72,Prueba auto 371,sistema,2024-11-14,fallo,alta,5
372,72,Prueba auto 372,integración,2024-08-30,éxito,nula,0
373,72,Prueba auto 373,sistema,2024-11-10,éxito,nula,0
374,72,Prueba auto 374,integración,2024-12-09,éxito,nula,0
375,72,Prueba auto 375,integración,2024-11-13,éxito,nula,0
376,72,Prueba auto 376,sistema,2024-11-30,éxito,nula,0
377,72,Prueba auto 377,integración,2024-11-14,fallo,alta,7
378,72,Prueba auto 378,sistema,2025-01-25,éxito,nula,0
379,72,Prueba auto 379,sistema,2024-09-20,éxito,nula,0
380,72,Prueba auto 380,sistema,2024-12-20,éxito,nula,0
381,72,Prueba auto 381,integración,2024-10-23,fallo,crítica,8
382,72,Prueba auto 382,integración,2024-10-12,fallo,alta,4
383,72,Prueba auto 383,integración,2025-02-06,éxito,nula,0
384,72,Prueba auto 384,sistema,2024-12-18,fallo,media,7
385,72,Prueba auto 385,integración,2024-12-27,éxito,nula,0
386,72,Prueba auto 386,sistema,2024-12-26,éxito,nula,0
387,72,Prueba auto 387,sistema,2025-01-09,éxito,nula,0
388,72,Prueba auto 388,integración,2024-09-08,fallo,alta,6
389,72,Prueba auto 389,integración,2024-11-20,fallo,baja,3
390,74,Prueba auto 390,integración,2024-11-04,fallo,media,8
391,74,Prueba auto 391,integración,2024-12-10,éxito,nula,0
392,74,Prueba auto 392,integración,2025-01-20,fallo,crítica,6
393,74,Prueba auto 393,integración,2024-10-24,fallo,crítica,5
394,74,Prueba auto 394,sistema,2025-01-19,éxito,nula,0
395,74,Prueba auto 395,integración,2025-01-21,éxito,nula,0
396,74,Prueba auto 396,sistema,2024-10-30,éxito,nula,0
397,74,Prueba auto 397,integración,2024-07-30,éxito,nula,0
398,74,Prueba auto 398,sistema,2024-07-15,éxito,nula,0
399,74,Prueba auto 399,integración,2024-09-10,fallo,baja,3
400,74,Prueba auto 400,integración,2024-09-15,éxito,nula,0
401,74,Prueba auto 401,integración,2024-11-18,éxito,nula,0
402,74,Prueba auto 402,integración,2024-09-29,éxito,nula,0
403,74,Prueba auto 403,integración,2024-12-06,éxito,nula,0
404,74,Prueba auto 404,integración,2025-01-29,éxito,nula,0
405,74,Prueba auto 405,integración,2024-11-28,éxito,nula,0
406,74,Prueba auto 406,sistema,2024-09-15,fallo,media,3
407,74,Prueba auto 407,integración,2024-11-29,éxito,nula,0
408,74,Prueba auto 408,sistema,2024-10-19,éxito,nula,0
409,74,Prueba auto 409,integración,2024-12-08,éxito,nula,0
410,74,Prueba auto 410,integración,2025-01-12,éxito,nula,0
411,74,Prueba auto 411,integración,2025-01-02,éxito,nula,0
412,74,Prueba auto 412,integración,2024-05-29,éxito,nula,0
413,74,Prueba auto 413,integración,2024-11-13,éxito,nula,0
414,74,Prueba auto 414,sistema,2024-12-19,éxito,nula,0
415,74,Prueba auto 415,integración,2024-08-05,éxito,nula,0
416,74,Prueba auto 416,integración,2025-01-18,éxito,nula,0
417,74,Prueba auto 417,integración,2024-11-08,éxito,nula,0
418,74,Prueba auto 418,integración,2025-02-08,fallo,alta,7
419,74,Prueba auto 419,sistema,2025-02-08,éxito,nula,0
420,74,Prueba auto 420,integración,2025-01-15,éxito,nula,0
421,74,Prueba auto 421,sistema,2024-10-17,éxito,nula,0
422,74,Prueba auto 422,sistema,2024-08-30,fallo,alta,5
423,74,Prueba auto 423,integración,2024-10-10,éxito,nula,0
424,74,Prueba auto 424,integración,2024-11-02,éxito,nula,0
425,74,Prueba auto 425,integración,2024-11-17,éxito,nula,0
426,74,Prueba auto 426,integración,2025-01-27,éxito,nula,0
427,74,Prueba auto 427,sistema,2025-02-09,éxito,nula,0
428,74,Prueba auto 428,sistema,2024-11-08,éxito,nula,0
