id_hecho_calidad,id_proyecto,id_tiempo,tipo_prueba,severidad,cantidad_defectos_encontrados
85,2,20160426,sistema,nula,0
86,2,20160428,integración,media,1
87,2,20160430,integración,crítica,1
88,2,20160502,integración,nula,0
89,2,20160503,integración,crítica,1
90,2,20160507,integración,nula,0
91,2,20160513,integración,nula,0
92,2,20160513,sistema,alta,1
93,2,20160513,sistema,nula,0
94,2,20160516,sistema,nula,0
95,2,20160517,integración,nula,0
96,2,20160524,sistema,nula,0
97,2,20160525,sistema,crítica,1
98,2,20160526,sistema,nula,0
99,2,20160527,integración,nula,0
100,2,20160529,integración,nula,0
101,2,20160601,integración,nula,0
102,3,20210216,integración,alta,1
103,3,20210306,integración,nula,0
104,3,20210323,integración,nula,0
105,3,20210324,sistema,nula,0
106,3,20210406,integración,nula,0
107,3,20210407,integración,media,1
108,3,20210416,sistema,media,1
109,3,20210423,sistema,nula,0
110,3,20210426,sistema,nula,0
111,3,20210502,sistema,nula,0
112,3,20210504,integración,nula,0
113,3,20210514,sistema,nula,0
114,3,20210521,sistema,baja,1
115,3,20210526,integración,nula,0
116,3,20210526,sistema,nula,0
117,3,20210530,sistema,nula,0
118,3,20210602,sistema,nula,0
119,3,20210607,integración,nula,0
120,3,20210611,integración,nula,0
121,3,20210614,sistema,nula,0
122,3,20210616,integración,nula,0
123,3,20210621,integración,nula,0
124,3,20210625,sistema,nula,0
125,3,20210701,integración,alta,1
126,3,20210702,sistema,nula,0
127,3,20210703,sistema,nula,0
128,3,20210704,integración,nula,0
129,3,20210705,integración,nula,0
130,3,20210707,integración,nula,0
131,3,20210709,sistema,media,1
132,3,20210709,sistema,nula,0
133,3,20210710,sistema,nula,0
134,3,20210712,sistema,nula,0
135,3,20210714,integración,nula,0
136,3,20210714,sistema,media,1
137,3,20210716,integración,nula,0
138,3,20210717,sistema,baja,1
139,3,20210717,sistema,nula,0
140,3,20210718,sistema,nula,0
141,3,20210723,sistema,nula,0
142,3,20210726,integración,media,1
143,3,20210727,sistema,nula,0
144,3,20210728,integración,nula,0
145,3,20210728,sistema,nula,0
146,3,20210729,sistema,nula,0
147,3,20210801,sistema,nula,0
148,3,20210805,integración,nula,0
149,3,20210805,sistema,crítica,1
150,3,20210805,sistema,nula,0
151,3,20210807,sistema,nula,0
152,3,20210810,sistema,nula,0
153,3,20210823,integración,media,1
154,3,20210824,integración,nula,0
155,4,20240823,integración,baja,1
156,4,20240915,integración,nula,0
157,4,20240922,integración,baja,1
158,4,20240922,integración,nula,0
159,4,20240924,sistema,nula,0
160,4,20240925,integración,nula,0
161,4,20240929,sistema,nula,0
162,4,20241005,integración,alta,1
163,4,20241005,sistema,nula,0
164,4,20241009,sistema,nula,0
165,4,20241015,sistema,nula,0
166,4,20241018,sistema,nula,0
167,4,20241021,integración,nula,0
168,4,20241022,integración,nula,0
169,4,20241023,integración,nula,0
170,4,20241026,integración,nula,0
171,4,20241027,sistema,nula,0
172,4,20241029,integración,nula,0
173,4,20241030,integración,nula,0
174,4,20241031,integración,nula,0
175,4,20241101,sistema,nula,0
176,4,20241102,sistema,nula,0
177,4,20241104,sistema,nula,0
178,4,20241115,integración,nula,0
179,4,20241116,integración,nula,0
180,4,20241119,integración,nula,0
181,5,20191223,sistema,nula,0
182,5,20200117,integración,nula,0
183,5,20200131,sistema,nula,0
184,5,20200204,sistema,nula,0
185,5,20200206,integración,media,1
186,5,20200210,sistema,nula,0
187,5,20200212,integración,nula,0
188,5,20200213,integración,nula,0
189,5,20200213,sistema,nula,0
190,5,20200215,integración,crítica,1
191,5,20200215,sistema,nula,0
192,5,20200216,integración,nula,0
193,5,20200219,sistema,nula,0
194,5,20200307,integración,nula,0
195,5,20200311,sistema,nula,0
196,5,20200312,integración,nula,0
197,5,20200313,integración,nula,0
198,5,20200317,integración,nula,0
199,5,20200329,sistema,nula,0
200,7,20251114,integración,nula,0
201,7,20251117,sistema,alta,1
202,7,20251118,sistema,nula,0
203,7,20251119,integración,nula,0
204,7,20251119,sistema,nula,0
205,7,20251120,integración,media,1
206,7,20251120,integración,nula,0
207,7,20251120,sistema,media,1
208,7,20251120,sistema,nula,0
209,7,20251121,integración,nula,0
210,7,20251121,sistema,crítica,1
211,7,20251121,sistema,nula,0
212,7,20251122,integración,media,1
213,7,20251122,integración,nula,0
214,7,20251122,sistema,baja,1
215,7,20251123,integración,media,1
216,7,20251123,integración,nula,0
217,7,20251123,sistema,alta,1
218,7,20251123,sistema,baja,1
219,7,20251123,sistema,nula,0
220,7,20251124,integración,nula,0
221,7,20251124,sistema,nula,0
222,7,20251125,integración,alta,1
223,7,20251125,sistema,nula,0
224,9,20200729,sistema,nula,0
225,9,20200731,integración,nula,0
226,9,20200805,integración,nula,0
227,9,20200805,sistema,baja,1
228,9,20200813,integración,nula,0
229,9,20200823,integración,alta,1
230,9,20200825,integración,nula,0
231,9,20200828,sistema,nula,0
232,9,20200901,sistema,alta,1
233,9,20200903,integración,nula,0
234,9,20200904,integración,nula,0
235,9,20200905,integración,media,1
236,9,20200905,integración,nula,0
237,9,20200908,integración,nula,0
238,9,20200911,sistema,baja,1
239,9,20200914,integración,nula,0
240,9,20200916,sistema,media,1
241,9,20200919,integración,nula,0
242,9,20200922,sistema,baja,1
243,9,20200924,integración,nula,0
244,9,20200924,sistema,media,1
245,9,20200924,sistema,nula,0
246,9,20200925,sistema,nula,0
247,9,20200927,sistema,nula,0
248,9,20200928,sistema,media,1
249,9,20201001,sistema,nula,0
250,9,20201006,integración,nula,0
251,9,20201007,sistema,nula,0
252,9,20201008,sistema,alta,1
253,9,20201011,sistema,nula,0
254,9,20201012,integración,nula,0
255,9,20201014,sistema,nula,0
256,9,20201015,sistema,nula,0
257,9,20201016,integración,media,1
258,9,20201017,integración,nula,0
259,9,20201017,sistema,nula,0
260,9,20201018,integración,nula,0
261,9,20201018,sistema,nula,0
262,9,20201019,integración,nula,0
263,9,20201019,sistema,nula,0
264,9,20201020,integración,nula,0
265,9,20201021,sistema,baja,1
266,9,20201022,integración,nula,0
267,9,20201023,sistema,nula,0
268,9,20201024,integración,media,1
269,9,20201026,integración,crítica,1
270,9,20201026,integración,nula,0
271,9,20201026,sistema,nula,0
272,9,20201028,integración,baja,1
273,9,20201029,sistema,alta,1
274,9,20201031,integración,nula,0
275,9,20201031,sistema,nula,0
276,9,20201101,sistema,alta,1
277,9,20201101,sistema,nula,0
278,9,20201102,integración,nula,0
279,9,20201102,sistema,nula,0
280,9,20201103,sistema,nula,0
281,9,20201104,integración,nula,0
282,9,20201104,sistema,nula,0
283,9,20201105,integración,crítica,1
284,9,20201105,integración,nula,0
285,9,20201105,sistema,media,1
286,9,20201109,integración,nula,0
287,9,20201109,sistema,alta,1
288,9,20201110,sistema,nula,0
289,9,20201111,integración,nula,0
290,9,20201111,sistema,nula,0
291,9,20201112,integración,nula,0
292,9,20201114,integración,media,1
293,9,20201115,integración,nula,0
294,9,20201115,sistema,nula,0
295,9,20201116,sistema,media,1
296,9,20201118,integración,nula,0
297,9,20201118,sistema,nula,0
298,9,20201119,sistema,nula,0
299,9,20201120,integración,nula,0
300,9,20201122,sistema,nula,0
301,9,20201123,integración,nula,0
302,9,20201123,sistema,baja,1
303,9,20201123,sistema,nula,0
304,9,20201127,integración,nula,0
305,9,20201127,sistema,alta,1
306,9,20201201,sistema,nula,0
307,9,20201202,sistema,nula,0
308,9,20201206,integración,nula,0
309,10,20240529,integración,nula,0
310,10,20240703,sistema,nula,0
311,10,20240715,sistema,nula,0
312,10,20240730,integración,nula,0
313,10,20240802,integración,media,1
314,10,20240804,sistema,nula,0
315,10,20240805,integración,nula,0
316,10,20240807,sistema,nula,0
317,10,20240830,integración,nula,0
318,10,20240830,sistema,alta,1
319,10,20240908,integración,alta,1
320,10,20240910,integración,baja,1
321,10,20240910,integración,nula,0
322,10,20240915,integración,nula,0
323,10,20240915,sistema,media,1
324,10,20240919,integración,nula,0
325,10,20240920,sistema,nula,0
326,10,20240926,integración,alta,1
327,10,20240929,integración,nula,0
328,10,20241005,integración,nula,0
329,10,20241007,integración,nula,0
330,10,20241008,integración,nula,0
331,10,20241008,sistema,nula,0
332,10,20241010,integración,nula,0
333,10,20241012,integración,alta,1
334,10,20241017,sistema,nula,0
335,10,20241019,sistema,nula,0
336,10,20241023,integración,crítica,1
337,10,20241024,integración,crítica,1
338,10,20241030,sistema,nula,0
339,10,20241102,integración,nula,0
340,10,20241104,integración,media,1
341,10,20241108,integración,nula,0
342,10,20241108,sistema,nula,0
343,10,20241110,sistema,nula,0
344,10,20241113,integración,nula,0
345,10,20241114,integración,alta,1
346,10,20241114,sistema,alta,1
347,10,20241117,integración,nula,0
348,10,20241118,integración,nula,0
349,10,20241120,integración,baja,1
350,10,20241120,sistema,nula,0
351,10,20241121,sistema,nula,0
352,10,20241125,integración,media,1
353,10,20241128,integración,nula,0
354,10,20241129,integración,nula,0
355,10,20241130,sistema,nula,0
356,10,20241206,integración,nula,0
357,10,20241207,integración,nula,0
358,10,20241208,integración,nula,0
359,10,20241209,integración,nula,0
360,10,20241209,sistema,nula,0
361,10,20241210,integración,nula,0
362,10,20241211,sistema,nula,0
363,10,20241217,sistema,nula,0
364,10,20241218,sistema,media,1
365,10,20241219,sistema,nula,0
366,10,20241220,sistema,nula,0
367,10,20241225,integración,nula,0
368,10,20241226,sistema,nula,0
369,10,20241227,integración,nula,0
370,10,20241228,sistema,crítica,1
371,10,20241230,sistema,nula,0
372,10,20250102,integración,nula,0
373,10,20250109,integración,nula,0
374,10,20250109,sistema,nula,0
375,10,20250110,integración,nula,0
376,10,20250112,integración,nula,0
377,10,20250115,integración,nula,0
378,10,20250115,sistema,nula,0
379,10,20250118,integración,nula,0
380,10,20250119,sistema,nula,0
381,10,20250120,integración,crítica,1
382,10,20250121,integración,nula,0
383,10,20250122,sistema,nula,0
384,10,20250125,sistema,nula,0
385,10,20250127,integración,nula,0
386,10,20250129,integración,nula,0
387,10,20250204,integración,nula,0
388,10,20250206,integración,nula,0
389,10,20250208,integración,alta,1
390,10,20250208,sistema,nula,0
391,10,20250209,sistema,nula,0
392,10,20250213,integración,nula,0
393,10,20250220,integración,nula,0
394,11,20180601,integración,nula,0
395,11,20180702,integración,nula,0
396,11,20180709,sistema,alta,1
397,11,20180803,sistema,baja,1
398,11,20180807,sistema,nula,0
399,11,20180808,sistema,nula,0
400,11,20180810,integración,nula,0
401,11,20180811,sistema,nula,0
402,11,20180817,integración,baja,1
403,11,20180821,integración,nula,0
404,11,20180821,sistema,nula,0
405,11,20180822,integración,nula,0
406,11,20180827,integración,nula,0
407,11,20180830,sistema,nula,0
408,11,20180907,sistema,alta,1
409,11,20180907,sistema,nula,0
410,11,20180910,sistema,baja,1
411,11,20180911,sistema,nula,0
412,11,20180912,sistema,nula,0
413,11,20180913,integración,media,1
414,11,20180913,sistema,nula,0
415,11,20180915,sistema,nula,0
416,11,20180918,sistema,nula,0
417,11,20180922,integración,crítica,1
418,11,20180923,integración,nula,0
419,11,20180923,sistema,nula,0
420,11,20180924,sistema,nula,0
421,11,20180926,integración,nula,0
422,11,20180927,integración,media,1
423,11,20180928,integración,crítica,1
424,11,20180929,integración,nula,0
425,11,20181004,integración,media,1
426,11,20181004,sistema,nula,0
427,11,20181008,sistema,nula,0
428,11,20181011,sistema,nula,0
429,11,20181012,sistema,nula,0
430,11,20181014,sistema,nula,0
431,11,20181015,integración,nula,0
432,11,20181016,integración,media,1
433,11,20181016,integración,nula,0
434,11,20181016,sistema,nula,0
435,11,20181019,integración,nula,0
436,11,20181021,integración,media,1
437,11,20181022,sistema,nula,0
438,11,20181025,integración,nula,0
439,11,20181026,integración,crítica,1
440,11,20181026,integración,nula,0
441,11,20181031,integración,nula,0
442,11,20181031,sistema,nula,0
443,11,20181101,integración,nula,0
444,11,20181102,sistema,crítica,1
445,11,20181102,sistema,nula,0
446,11,20181103,sistema,nula,0
447,11,20181105,integración,nula,0
448,11,20181106,integración,nula,0
449,11,20181107,sistema,nula,0
450,11,20181108,sistema,nula,0
451,11,20181112,integración,media,1
452,11,20181113,integración,media,1
453,11,20181114,sistema,nula,0
454,11,20181118,sistema,crítica,1
455,11,20181118,sistema,nula,0
456,11,20181119,integración,nula,0
457,11,20181119,sistema,crítica,1
458,11,20181121,sistema,nula,0
459,11,20181122,integración,nula,0
460,11,20181122,sistema,nula,0
461,11,20181123,sistema,nula,0
462,11,20181124,integración,nula,0
463,11,20181125,integración,nula,0
464,11,20181125,sistema,nula,0
465,11,20181126,integración,nula,0
466,11,20181127,sistema,nula,0
467,11,20181129,integración,nula,0
468,11,20181129,sistema,nula,0
469,11,20181130,integración,crítica,1
470,11,20181130,sistema,nula,0
471,11,20181202,integración,crítica,1
472,11,20181202,integración,nula,0
473,11,20181204,sistema,nula,0
474,11,20181205,sistema,nula,0
475,11,20181212,integración,crítica,1
476,11,20181213,integración,nula,0
477,11,20181213,sistema,nula,0
478,11,20181217,integración,alta,1
479,11,20181218,integración,alta,1
480,11,20181218,integración,nula,0
481,11,20181230,integración,alta,1
482,12,20250425,sistema,alta,1
483,12,20250426,integración,nula,0
484,12,20250429,integración,nula,0
485,12,20250503,sistema,crítica,1
486,12,20250507,integración,nula,0
487,12,20250507,sistema,nula,0
488,12,20250508,sistema,nula,0
489,12,20250510,sistema,nula,0
490,12,20250511,integración,nula,0
491,12,20250512,sistema,nula,0
492,12,20250513,sistema,nula,0
493,12,20250514,sistema,baja,1
494,12,20250520,integración,nula,0
495,12,20250520,sistema,nula,0
496,12,20250522,sistema,nula,0
497,12,20250523,integración,nula,0
498,12,20250526,integración,nula,0
499,12,20250526,sistema,nula,0
500,12,20250530,integración,media,1
501,12,20250531,integración,nula,0
502,12,20250531,sistema,nula,0
503,12,20250601,integración,nula,0
504,12,20250601,sistema,baja,1
505,12,20250602,integración,nula,0
506,12,20250602,sistema,nula,0
507,12,20250603,sistema,nula,0
508,12,20250604,sistema,alta,1
509,12,20250604,sistema,nula,0
510,12,20250605,sistema,nula,0
511,12,20250606,integración,nula,0
512,12,20250606,sistema,nula,0
513,12,20250608,integración,nula,0
514,12,20250609,sistema,nula,0
515,12,20250611,integración,alta,1
516,12,20250611,sistema,nula,0
517,12,20250612,sistema,nula,0
518,12,20250613,integración,nula,0
519,12,20250615,sistema,nula,0
520,12,20250616,integración,nula,0
521,12,20250616,sistema,nula,0
522,12,20250617,integración,nula,0
523,12,20250618,integración,nula,0
524,12,20250619,integración,nula,0
525,12,20250621,integración,crítica,1
526,12,20250621,integración,nula,0
527,12,20250621,sistema,nula,0
528,12,20250622,integración,nula,0
529,12,20250624,sistema,crítica,1
530,12,20250624,sistema,nula,0
531,12,20250626,sistema,nula,0
532,12,20250627,sistema,nula,0
533,12,20250628,integración,crítica,1
534,12,20250628,integración,nula,0
535,12,20250628,sistema,nula,0
536,12,20250629,integración,nula,0
537,12,20250630,sistema,nula,0
538,12,20250703,integración,nula,0
539,12,20250703,sistema,nula,0
540,12,20250705,integración,nula,0
541,12,20250708,integración,nula,0
542,12,20250708,sistema,nula,0
543,12,20250711,integración,nula,0
544,12,20250713,integración,nula,0
545,12,20250715,integración,nula,0
546,13,20160703,sistema,nula,0
547,13,20160721,integración,media,1
548,13,20160725,sistema,nula,0
549,13,20160729,integración,nula,0
550,13,20160802,sistema,nula,0
551,13,20160812,sistema,alta,1
552,13,20160817,integración,nula,0
553,13,20160817,sistema,nula,0
554,13,20160818,sistema,nula,0
555,13,20160819,sistema,alta,1
556,13,20160820,sistema,nula,0
557,13,20160829,integración,nula,0
558,13,20160829,sistema,alta,1
559,13,20160904,sistema,nula,0
560,13,20160907,sistema,nula,0
561,13,20160908,integración,nula,0
562,13,20160908,sistema,nula,0
563,13,20160909,integración,nula,0
564,13,20160912,integración,nula,0
565,13,20160912,sistema,media,1
566,13,20160913,integración,media,1
567,13,20160913,sistema,media,1
568,13,20160914,sistema,nula,0
569,13,20160915,sistema,media,1
570,13,20160915,sistema,nula,0
571,13,20160916,integración,nula,0
572,13,20160919,integración,nula,0
573,13,20160919,sistema,nula,0
574,13,20160920,integración,alta,1
575,13,20160920,sistema,media,1
576,13,20160922,integración,nula,0
577,13,20160922,sistema,nula,0
578,13,20160923,integración,nula,0
579,13,20160924,sistema,baja,1
580,13,20160924,sistema,nula,0
581,13,20160927,integración,nula,0
582,13,20160929,sistema,baja,1
583,13,20161002,sistema,baja,1
584,13,20161003,integración,nula,0
585,13,20161003,sistema,alta,1
586,13,20161003,sistema,nula,0
587,13,20161005,sistema,nula,0
588,13,20161006,sistema,nula,0
589,13,20161008,integración,nula,0
590,13,20161008,sistema,nula,0
591,13,20161010,sistema,nula,0
592,13,20161011,sistema,alta,1
593,13,20161011,sistema,nula,0
594,13,20161012,integración,nula,0
595,13,20161012,sistema,nula,0
596,13,20161013,integración,nula,0
597,13,20161013,sistema,nula,0
598,13,20161016,sistema,nula,0
599,13,20161017,sistema,nula,0
600,13,20161019,sistema,nula,0
601,13,20161020,integración,nula,0
602,13,20161021,integración,nula,0
603,13,20161022,integración,nula,0
604,13,20161023,sistema,nula,0
605,13,20161024,sistema,nula,0
606,13,20161025,integración,nula,0
607,13,20161027,sistema,alta,1
608,13,20161027,sistema,nula,0
609,13,20161028,integración,nula,0
610,13,20161029,integración,nula,0
611,14,20210105,sistema,nula,0
612,14,20210124,sistema,nula,0
613,14,20210202,integración,nula,0
614,14,20210206,sistema,nula,0
615,14,20210210,integración,nula,0
616,14,20210213,sistema,crítica,1
617,14,20210215,integración,nula,0
618,14,20210215,sistema,nula,0
619,14,20210219,integración,nula,0
620,14,20210220,integración,baja,1
621,14,20210221,integración,nula,0
622,14,20210221,sistema,nula,0
623,14,20210222,integración,nula,0
624,14,20210223,integración,nula,0
625,14,20210224,integración,nula,0
626,14,20210225,sistema,nula,0
627,14,20210226,integración,crítica,1
628,14,20210226,sistema,nula,0
629,14,20210227,sistema,nula,0
630,14,20210228,sistema,nula,0
631,14,20210301,sistema,nula,0
632,14,20210302,integración,nula,0
633,14,20210305,sistema,nula,0
634,14,20210309,integración,nula,0
635,14,20210310,integración,nula,0
636,14,20210310,sistema,baja,1
637,14,20210311,sistema,alta,1
638,14,20210312,sistema,nula,0
639,14,20210314,integración,nula,0
640,14,20210314,sistema,nula,0
641,14,20210316,sistema,nula,0
642,14,20210318,sistema,nula,0
643,14,20210320,integración,nula,0
644,14,20210322,integración,crítica,1
645,14,20210322,integración,nula,0
646,14,20210322,sistema,nula,0
647,14,20210323,sistema,alta,1
648,14,20210323,sistema,crítica,1
649,14,20210324,sistema,nula,0
650,14,20210325,integración,nula,0
651,14,20210327,integración,alta,1
652,14,20210327,integración,nula,0
653,14,20210329,integración,nula,0
654,14,20210329,sistema,nula,0
655,14,20210331,integración,alta,1
656,14,20210331,integración,nula,0
657,14,20210401,sistema,nula,0
658,14,20210402,sistema,nula,0
659,14,20210403,sistema,nula,0
660,14,20210407,sistema,nula,0
661,14,20210409,sistema,nula,0
662,14,20210411,integración,nula,0
663,14,20210412,integración,media,1
664,14,20210414,sistema,media,1
665,14,20210414,sistema,nula,0
666,14,20210415,integración,nula,0
667,14,20210417,integración,nula,0
668,14,20210419,sistema,alta,1
669,14,20210421,integración,nula,0
670,14,20210424,sistema,nula,0
671,14,20210425,integración,baja,1
672,14,20210427,integración,nula,0
673,15,20200530,sistema,nula,0
674,15,20200601,sistema,nula,0
675,15,20200604,sistema,crítica,1
676,15,20200606,integración,nula,0
677,15,20200615,sistema,nula,0
678,15,20200616,integración,nula,0
679,15,20200617,sistema,media,1
680,15,20200617,sistema,nula,0
681,15,20200619,integración,baja,1
682,15,20200620,integración,nula,0
683,15,20200620,sistema,nula,0
684,15,20200621,sistema,alta,1
685,15,20200623,integración,nula,0
686,15,20200624,integración,nula,0
687,15,20200624,sistema,nula,0
688,15,20200625,integración,nula,0
689,15,20200625,sistema,baja,1
690,15,20200625,sistema,nula,0
691,15,20200626,sistema,nula,0
692,15,20200627,sistema,crítica,1
693,15,20200628,integración,media,1
694,15,20200628,integración,nula,0
695,15,20200702,sistema,nula,0
696,15,20200703,sistema,nula,0
697,15,20200704,integración,nula,0
698,15,20200705,integración,nula,0
699,15,20200705,sistema,nula,0
700,15,20200706,sistema,nula,0
701,17,20151219,sistema,nula,0
702,17,20151224,integración,nula,0
703,17,20151227,integración,nula,0
704,17,20151229,sistema,nula,0
705,17,20160103,integración,nula,0
706,17,20160105,integración,nula,0
707,17,20160108,sistema,nula,0
708,17,20160109,integración,media,1
709,17,20160111,integración,nula,0
710,17,20160111,sistema,crítica,1
711,17,20160111,sistema,nula,0
712,17,20160112,integración,nula,0
713,17,20160114,sistema,nula,0
714,17,20160115,integración,alta,1
715,17,20160116,sistema,crítica,1
716,17,20160116,sistema,nula,0
717,17,20160117,sistema,baja,1
718,17,20160118,integración,nula,0
719,17,20160118,sistema,nula,0
720,17,20160119,sistema,nula,0
721,17,20160120,integración,nula,0
722,17,20160120,sistema,nula,0
723,17,20160122,integración,nula,0
724,17,20160122,sistema,nula,0
725,17,20160123,integración,nula,0
726,17,20160124,integración,nula,0
727,17,20160124,sistema,nula,0
728,17,20160125,sistema,alta,1
729,17,20160125,sistema,nula,0
730,17,20160126,integración,media,1
731,17,20160126,integración,nula,0
732,17,20160127,integración,nula,0
733,17,20160128,integración,media,1
734,17,20160128,integración,nula,0
735,17,20160128,sistema,nula,0
736,17,20160129,integración,nula,0
737,17,20160129,sistema,nula,0
738,17,20160130,integración,nula,0
739,17,20160131,integración,crítica,1
740,17,20160131,sistema,nula,0
741,17,20160201,integración,nula,0
742,17,20160201,sistema,nula,0
743,17,20160202,integración,nula,0
744,17,20160202,sistema,baja,1
745,17,20160203,integración,nula,0
746,17,20160206,integración,nula,0
747,17,20160207,integración,nula,0
748,17,20160207,sistema,nula,0
749,17,20160208,integración,nula,0
750,17,20160210,sistema,nula,0
751,18,20180726,sistema,nula,0
752,18,20180806,sistema,nula,0
753,18,20180915,integración,nula,0
754,18,20180917,sistema,nula,0
755,18,20180923,integración,nula,0
756,18,20181007,sistema,nula,0
757,18,20181010,sistema,nula,0
758,18,20181029,integración,baja,1
759,18,20181029,sistema,nula,0
760,18,20181101,sistema,crítica,1
761,18,20181104,integración,nula,0
762,18,20181112,sistema,nula,0
763,18,20181116,sistema,nula,0
764,18,20181119,sistema,nula,0
765,18,20181127,sistema,baja,1
766,18,20181128,integración,nula,0
767,18,20181206,sistema,nula,0
768,18,20181208,sistema,nula,0
769,18,20181219,integración,nula,0
770,18,20181221,integración,nula,0
771,18,20181225,sistema,nula,0
772,18,20181226,sistema,nula,0
773,18,20181228,sistema,nula,0
774,18,20181231,integración,crítica,1
775,18,20190102,integración,alta,1
776,18,20190103,integración,nula,0
777,18,20190106,sistema,nula,0
778,18,20190111,integración,nula,0
779,18,20190117,integración,nula,0
780,18,20190118,sistema,nula,0
781,18,20190121,integración,nula,0
782,18,20190124,sistema,nula,0
783,18,20190125,integración,nula,0
784,18,20190130,integración,nula,0
785,18,20190201,integración,baja,1
786,18,20190202,sistema,media,1
787,18,20190203,sistema,nula,0
788,18,20190205,integración,nula,0
789,18,20190207,integración,nula,0
790,18,20190210,integración,nula,0
791,18,20190216,sistema,nula,0
792,18,20190217,sistema,crítica,1
793,18,20190217,sistema,nula,0
794,18,20190219,sistema,nula,0
795,18,20190223,sistema,nula,0
796,18,20190301,integración,nula,0
797,18,20190302,integración,nula,0
798,18,20190305,integración,nula,0
799,18,20190307,sistema,nula,0
800,18,20190311,sistema,nula,0
801,18,20190312,sistema,nula,0
802,18,20190313,integración,nula,0
803,18,20190315,sistema,nula,0
804,18,20190316,integración,nula,0
805,18,20190401,integración,nula,0
806,19,20200224,sistema,nula,0
807,19,20200303,sistema,nula,0
808,19,20200304,sistema,alta,1
809,19,20200306,sistema,nula,0
810,19,20200318,sistema,nula,0
811,19,20200320,integración,nula,0
812,19,20200325,sistema,nula,0
813,19,20200327,sistema,nula,0
814,19,20200328,sistema,nula,0
815,19,20200329,integración,nula,0
816,19,20200329,sistema,crítica,1
817,19,20200329,sistema,nula,0
818,19,20200402,sistema,baja,1
819,19,20200403,integración,nula,0
820,19,20200406,integración,baja,1
821,19,20200406,integración,nula,0
822,19,20200407,sistema,alta,1
823,19,20200410,integración,nula,0
824,19,20200411,sistema,nula,0
825,19,20200412,integración,nula,0
826,19,20200415,sistema,nula,0
827,19,20200417,sistema,nula,0
828,19,20200419,sistema,crítica,1
829,19,20200420,integración,nula,0
830,19,20200420,sistema,nula,0
831,19,20200421,integración,nula,0
832,19,20200422,integración,alta,1
833,19,20200422,integración,nula,0
834,19,20200425,sistema,baja,1
835,19,20200426,integración,alta,1
836,19,20200426,sistema,nula,0
837,19,20200427,integración,nula,0
838,19,20200427,sistema,crítica,1
839,19,20200428,integración,media,1
840,19,20200504,integración,nula,0
841,19,20200505,integración,nula,0
842,19,20200505,sistema,nula,0
843,19,20200506,integración,nula,0
