id_hecho_calidad,nombre_proyecto,año,nombre_mes,dia,semana,tipo_prueba,severidad,cantidad_defectos_encontrados
104,Proy-2020-visualiza,2021,Marzo,23,12,integración,nula,0
105,Proy-2020-visualiza,2021,Marzo,24,12,sistema,nula,0
106,Proy-2020-visualiza,2021,Abril,6,14,integración,nula,0
107,Proy-2020-visualiza,2021,Abril,7,14,integración,media,1
108,Proy-2020-visualiza,2021,Abril,16,15,sistema,media,1
109,Proy-2020-visualiza,2021,Abril,23,16,sistema,nula,0
110,Proy-2020-visualiza,2021,Abril,26,17,sistema,nula,0
111,Proy-2020-visualiza,2021,Mayo,2,17,sistema,nula,0
112,Proy-2020-visualiza,2021,Mayo,4,18,integración,nula,0
113,Proy-2020-visualiza,2021,Mayo,14,19,sistema,nula,0
114,Proy-2020-visualiza,2021,Mayo,21,20,sistema,baja,1
115,Proy-2020-visualiza,2021,Mayo,26,21,integración,nula,0
116,Proy-2020-visualiza,2021,Mayo,26,21,sistema,nula,0
117,Proy-2020-visualiza,2021,Mayo,30,21,sistema,nula,0
118,Proy-2020-visualiza,2021,Junio,2,22,sistema,nula,0
119,Proy-2020-visualiza,2021,Junio,7,23,integración,nula,0
120,Proy-2020-visualiza,2021,Junio,11,23,integración,nula,0
121,Proy-2020-visualiza,2021,Junio,14,24,sistema,nula,0
122,Proy-2020-visualiza,2021,Junio,16,24,integración,nula,0
123,Proy-2020-visualiza,2021,Junio,21,25,integración,nula,0
124,Proy-2020-visualiza,2021,Junio,25,25,sistema,nula,0
125,Proy-2020-visualiza,2021,Julio,1,26,integración,alta,1
126,Proy-2020-visualiza,2021,Julio,2,26,sistema,nula,0
127,Proy-2020-visualiza,2021,Julio,3,26,sistema,nula,0
128,Proy-2020-visualiza,2021,Julio,4,26,integración,nula,0
129,Proy-2020-visualiza,2021,Julio,5,27,integración,nula,0
130,Proy-2020-visualiza,2021,Julio,7,27,integración,nula,0
131,Proy-2020-visualiza,2021,Julio,9,27,sistema,media,1
132,Proy-2020-visualiza,2021,Julio,9,27,sistema,nula,0
133,Proy-2020-visualiza,2021,Julio,10,27,sistema,nula,0
134,Proy-2020-visualiza,2021,Julio,12,28,sistema,nula,0
135,Proy-2020-visualiza,2021,Julio,14,28,integración,nula,0
136,Proy-2020-visualiza,2021,Julio,14,28,sistema,media,1
137,Proy-2020-visualiza,2021,Julio,16,28,integración,nula,0
138,Proy-2020-visualiza,2021,Julio,17,28,sistema,baja,1
139,Proy-2020-visualiza,2021,Julio,17,28,sistema,nula,0
140,Proy-2020-visualiza,2021,Julio,18,28,sistema,nula,0
141,Proy-2020-visualiza,2021,Julio,23,29,sistema,nula,0
142,Proy-2020-visualiza,2021,Julio,26,30,integración,media,1
143,Proy-2020-visualiza,2021,Julio,27,30,sistema,nula,0
144,Proy-2020-visualiza,2021,Julio,28,30,integración,nula,0
145,Proy-2020-visualiza,2021,Julio,28,30,sistema,nula,0
146,Proy-2020-visualiza,2021,Julio,29,30,sistema,nula,0
147,Proy-2020-visualiza,2021,Agosto,1,30,sistema,nula,0
148,Proy-2020-visualiza,2021,Agosto,5,31,integración,nula,0
149,Proy-2020-visualiza,2021,Agosto,5,31,sistema,crítica,1
150,Proy-2020-visualiza,2021,Agosto,5,31,sistema,nula,0
151,Proy-2020-visualiza,2021,Agosto,7,31,sistema,nula,0
152,Proy-2020-visualiza,2021,Agosto,10,32,sistema,nula,0
153,Proy-2020-visualiza,2021,Agosto,23,34,integración,media,1
154,Proy-2020-visualiza,2021,Agosto,24,34,integración,nula,0
155,Proy-2024-orquesta,2024,Agosto,23,34,integración,baja,1
156,Proy-2024-orquesta,2024,Septiembre,15,37,integración,nula,0
157,Proy-2024-orquesta,2024,Septiembre,22,38,integración,baja,1
158,Proy-2024-orquesta,2024,Septiembre,22,38,integración,nula,0
159,Proy-2024-orquesta,2024,Septiembre,24,39,sistema,nula,0
160,Proy-2024-orquesta,2024,Septiembre,25,39,integración,nula,0
161,Proy-2024-orquesta,2024,Septiembre,29,39,sistema,nula,0
162,Proy-2024-orquesta,2024,Octubre,5,40,integración,alta,1
163,Proy-2024-orquesta,2024,Octubre,5,40,sistema,nula,0
164,Proy-2024-orquesta,2024,Octubre,9,41,sistema,nula,0
165,Proy-2024-orquesta,2024,Octubre,15,42,sistema,nula,0
166,Proy-2024-orquesta,2024,Octubre,18,42,sistema,nula,0
167,Proy-2024-orquesta,2024,Octubre,21,43,integración,nula,0
168,Proy-2024-orquesta,2024,Octubre,22,43,integración,nula,0
169,Proy-2024-orquesta,2024,Octubre,23,43,integración,nula,0
170,Proy-2024-orquesta,2024,Octubre,26,43,integración,nula,0
171,Proy-2024-orquesta,2024,Octubre,27,43,sistema,nula,0
172,Proy-2024-orquesta,2024,Octubre,29,44,integración,nula,0
173,Proy-2024-orquesta,2024,Octubre,30,44,integración,nula,0
174,Proy-2024-orquesta,2024,Octubre,31,44,integración,nula,0
175,Proy-2024-orquesta,2024,Noviembre,1,44,sistema,nula,0
176,Proy-2024-orquesta,2024,Noviembre,2,44,sistema,nula,0
177,Proy-2024-orquesta,2024,Noviembre,4,45,sistema,nula,0
178,Proy-2024-orquesta,2024,Noviembre,15,46,integración,nula,0
179,Proy-2024-orquesta,2024,Noviembre,16,46,integración,nula,0
180,Proy-2024-orquesta,2024,Noviembre,19,47,integración,nula,0
181,Proy-2019-genera,2019,Diciembre,23,52,sistema,nula,0
182,Proy-2019-genera,2020,Enero,17,3,integración,nula,0
183,Proy-2019-genera,2020,Enero,31,5,sistema,nula,0
184,Proy-2019-genera,2020,Febrero,4,6,sistema,nula,0
185,Proy-2019-genera,2020,Febrero,6,6,integración,media,1
186,Proy-2019-genera,2020,Febrero,10,7,sistema,nula,0
187,Proy-2019-genera,2020,Febrero,12,7,integración,nula,0
188,Proy-2019-genera,2020,Febrero,13,7,integración,nula,0
189,Proy-2019-genera,2020,Febrero,13,7,sistema,nula,0
190,Proy-2019-genera,2020,Febrero,15,7,integración,crítica,1
191,Proy-2019-genera,2020,Febrero,15,7,sistema,nula,0
192,Proy-2019-genera,2020,Febrero,16,7,integración,nula,0
193,Proy-2019-genera,2020,Febrero,19,8,sistema,nula,0
194,Proy-2019-genera,2020,Marzo,7,10,integración,nula,0
195,Proy-2019-genera,2020,Marzo,11,11,sistema,nula,0
196,Proy-2019-genera,2020,Marzo,12,11,integración,nula,0
197,Proy-2019-genera,2020,Marzo,13,11,integración,nula,0
198,Proy-2019-genera,2020,Marzo,17,12,integración,nula,0
199,Proy-2019-genera,2020,Marzo,29,13,sistema,nula,0
200,Proy-2025-modifica,2025,Noviembre,14,46,integración,nula,0
201,Proy-2025-modifica,2025,Noviembre,17,47,sistema,alta,1
202,Proy-2025-modifica,2025,Noviembre,18,47,sistema,nula,0
203,Proy-2025-modifica,2025,Noviembre,19,47,integración,nula,0
204,Proy-2025-modifica,2025,Noviembre,19,47,sistema,nula,0
205,Proy-2025-modifica,2025,Noviembre,20,47,integración,media,1
206,Proy-2025-modifica,2025,Noviembre,20,47,integración,nula,0
207,Proy-2025-modifica,2025,Noviembre,20,47,sistema,media,1
208,Proy-2025-modifica,2025,Noviembre,20,47,sistema,nula,0
209,Proy-2025-modifica,2025,Noviembre,21,47,integración,nula,0
210,Proy-2025-modifica,2025,Noviembre,21,47,sistema,crítica,1
211,Proy-2025-modifica,2025,Noviembre,21,47,sistema,nula,0
212,Proy-2025-modifica,2025,Noviembre,22,47,integración,media,1
213,Proy-2025-modifica,2025,Noviembre,22,47,integración,nula,0
214,Proy-2025-modifica,2025,Noviembre,22,47,sistema,baja,1
215,Proy-2025-modifica,2025,Noviembre,23,47,integración,media,1
216,Proy-2025-modifica,2025,Noviembre,23,47,integración,nula,0
217,Proy-2025-modifica,2025,Noviembre,23,47,sistema,alta,1
218,Proy-2025-modifica,2025,Noviembre,23,47,sistema,baja,1
219,Proy-2025-modifica,2025,Noviembre,23,47,sistema,nula,0
220,Proy-2025-modifica,2025,Noviembre,24,48,integración,nula,0
221,Proy-2025-modifica,2025,Noviembre,24,48,sistema,nula,0
222,Proy-2025-modifica,2025,Noviembre,25,48,integración,alta,1
223,Proy-2025-modifica,2025,Noviembre,25,48,sistema,nula,0
224,Proy-2020-modifica,2020,Julio,29,31,sistema,nula,0
225,Proy-2020-modifica,2020,Julio,31,31,integración,nula,0
226,Proy-2020-modifica,2020,Agosto,5,32,integración,nula,0
227,Proy-2020-modifica,2020,Agosto,5,32,sistema,baja,1
228,Proy-2020-modifica,2020,Agosto,13,33,integración,nula,0
229,Proy-2020-modifica,2020,Agosto,23,34,integración,alta,1
230,Proy-2020-modifica,2020,Agosto,25,35,integración,nula,0
231,Proy-2020-modifica,2020,Agosto,28,35,sistema,nula,0
232,Proy-2020-modifica,2020,Septiembre,1,36,sistema,alta,1
233,Proy-2020-modifica,2020,Septiembre,3,36,integración,nula,0
234,Proy-2020-modifica,2020,Septiembre,4,36,integración,nula,0
235,Proy-2020-modifica,2020,Septiembre,5,36,integración,media,1
236,Proy-2020-modifica,2020,Septiembre,5,36,integración,nula,0
237,Proy-2020-modifica,2020,Septiembre,8,37,integración,nula,0
238,Proy-2020-modifica,2020,Septiembre,11,37,sistema,baja,1
239,Proy-2020-modifica,2020,Septiembre,14,38,integración,nula,0
240,Proy-2020-modifica,2020,Septiembre,16,38,sistema,media,1
241,Proy-2020-modifica,2020,Septiembre,19,38,integración,nula,0
242,Proy-2020-modifica,2020,Septiembre,22,39,sistema,baja,1
243,Proy-2020-modifica,2020,Septiembre,24,39,integración,nula,0
244,Proy-2020-modifica,2020,Septiembre,24,39,sistema,media,1
245,Proy-2020-modifica,2020,Septiembre,24,39,sistema,nula,0
246,Proy-2020-modifica,2020,Septiembre,25,39,sistema,nula,0
247,Proy-2020-modifica,2020,Septiembre,27,39,sistema,nula,0
248,Proy-2020-modifica,2020,Septiembre,28,40,sistema,media,1
249,Proy-2020-modifica,2020,Octubre,1,40,sistema,nula,0
250,Proy-2020-modifica,2020,Octubre,6,41,integración,nula,0
251,Proy-2020-modifica,2020,Octubre,7,41,sistema,nula,0
252,Proy-2020-modifica,2020,Octubre,8,41,sistema,alta,1
253,Proy-2020-modifica,2020,Octubre,11,41,sistema,nula,0
254,Proy-2020-modifica,2020,Octubre,12,42,integración,nula,0
255,Proy-2020-modifica,2020,Octubre,14,42,sistema,nula,0
256,Proy-2020-modifica,2020,Octubre,15,42,sistema,nula,0
257,Proy-2020-modifica,2020,Octubre,16,42,integración,media,1
258,Proy-2020-modifica,2020,Octubre,17,42,integración,nula,0
259,Proy-2020-modifica,2020,Octubre,17,42,sistema,nula,0
260,Proy-2020-modifica,2020,Octubre,18,42,integración,nula,0
261,Proy-2020-modifica,2020,Octubre,18,42,sistema,nula,0
262,Proy-2020-modifica,2020,Octubre,19,43,integración,nula,0
263,Proy-2020-modifica,2020,Octubre,19,43,sistema,nula,0
264,Proy-2020-modifica,2020,Octubre,20,43,integración,nula,0
265,Proy-2020-modifica,2020,Octubre,21,43,sistema,baja,1
266,Proy-2020-modifica,2020,Octubre,22,43,integración,nula,0
267,Proy-2020-modifica,2020,Octubre,23,43,sistema,nula,0
268,Proy-2020-modifica,2020,Octubre,24,43,integración,media,1
269,Proy-2020-modifica,2020,Octubre,26,44,integración,crítica,1
270,Proy-2020-modifica,2020,Octubre,26,44,integración,nula,0
271,Proy-2020-modifica,2020,Octubre,26,44,sistema,nula,0
272,Proy-2020-modifica,2020,Octubre,28,44,integración,baja,1
273,Proy-2020-modifica,2020,Octubre,29,44,sistema,alta,1
274,Proy-2020-modifica,2020,Octubre,31,44,integración,nula,0
275,Proy-2020-modifica,2020,Octubre,31,44,sistema,nula,0
276,Proy-2020-modifica,2020,Noviembre,1,44,sistema,alta,1
277,Proy-2020-modifica,2020,Noviembre,1,44,sistema,nula,0
278,Proy-2020-modifica,2020,Noviembre,2,45,integración,nula,0
279,Proy-2020-modifica,2020,Noviembre,2,45,sistema,nula,0
280,Proy-2020-modifica,2020,Noviembre,3,45,sistema,nula,0
281,Proy-2020-modifica,2020,Noviembre,4,45,integración,nula,0
282,Proy-2020-modifica,2020,Noviembre,4,45,sistema,nula,0
283,Proy-2020-modifica,2020,Noviembre,5,45,integración,crítica,1
284,Proy-2020-modifica,2020,Noviembre,5,45,integración,nula,0
285,Proy-2020-modifica,2020,Noviembre,5,45,sistema,media,1
286,Proy-2020-modifica,2020,Noviembre,9,46,integración,nula,0
287,Proy-2020-modifica,2020,Noviembre,9,46,sistema,alta,1
288,Proy-2020-modifica,2020,Noviembre,10,46,sistema,nula,0
289,Proy-2020-modifica,2020,Noviembre,11,46,integración,nula,0
290,Proy-2020-modifica,2020,Noviembre,11,46,sistema,nula,0
291,Proy-2020-modifica,2020,Noviembre,12,46,integración,nula,0
292,Proy-2020-modifica,2020,Noviembre,14,46,integración,media,1
293,Proy-2020-modifica,2020,Noviembre,15,46,integración,nula,0
294,Proy-2020-modifica,2020,Noviembre,15,46,sistema,nula,0
295,Proy-2020-modifica,2020,Noviembre,16,47,sistema,media,1
296,Proy-2020-modifica,2020,Noviembre,18,47,integración,nula,0
297,Proy-2020-modifica,2020,Noviembre,18,47,sistema,nula,0
298,Proy-2020-modifica,2020,Noviembre,19,47,sistema,nula,0
299,Proy-2020-modifica,2020,Noviembre,20,47,integración,nula,0
300,Proy-2020-modifica,2020,Noviembre,22,47,sistema,nula,0
301,Proy-2020-modifica,2020,Noviembre,23,48,integración,nula,0
302,Proy-2020-modifica,2020,Noviembre,23,48,sistema,baja,1
303,Proy-2020-modifica,2020,Noviembre,23,48,sistema,nula,0
304,Proy-2020-modifica,2020,Noviembre,27,48,integración,nula,0
305,Proy-2020-modifica,2020,Noviembre,27,48,sistema,alta,1
306,Proy-2020-modifica,2020,Diciembre,1,49,sistema,nula,0
307,Proy-2020-modifica,2020,Diciembre,2,49,sistema,nula,0
308,Proy-2020-modifica,2020,Diciembre,6,49,integración,nula,0
309,Proy-2024-habilita,2024,Mayo,29,22,integración,nula,0
310,Proy-2024-habilita,2024,Julio,3,27,sistema,nula,0
311,Proy-2024-habilita,2024,Julio,15,29,sistema,nula,0
312,Proy-2024-habilita,2024,Julio,30,31,integración,nula,0
313,Proy-2024-habilita,2024,Agosto,2,31,integración,media,1
314,Proy-2024-habilita,2024,Agosto,4,31,sistema,nula,0
315,Proy-2024-habilita,2024,Agosto,5,32,integración,nula,0
316,Proy-2024-habilita,2024,Agosto,7,32,sistema,nula,0
317,Proy-2024-habilita,2024,Agosto,30,35,integración,nula,0
318,Proy-2024-habilita,2024,Agosto,30,35,sistema,alta,1
319,Proy-2024-habilita,2024,Septiembre,8,36,integración,alta,1
320,Proy-2024-habilita,2024,Septiembre,10,37,integración,baja,1
321,Proy-2024-habilita,2024,Septiembre,10,37,integración,nula,0
322,Proy-2024-habilita,2024,Septiembre,15,37,integración,nula,0
323,Proy-2024-habilita,2024,Septiembre,15,37,sistema,media,1
324,Proy-2024-habilita,2024,Septiembre,19,38,integración,nula,0
325,Proy-2024-habilita,2024,Septiembre,20,38,sistema,nula,0
326,Proy-2024-habilita,2024,Septiembre,26,39,integración,alta,1
327,Proy-2024-habilita,2024,Septiembre,29,39,integración,nula,0
328,Proy-2024-habilita,2024,Octubre,5,40,integración,nula,0
329,Proy-2024-habilita,2024,Octubre,7,41,integración,nula,0
330,Proy-2024-habilita,2024,Octubre,8,41,integración,nula,0
331,Proy-2024-habilita,2024,Octubre,8,41,sistema,nula,0
332,Proy-2024-habilita,2024,Octubre,10,41,integración,nula,0
333,Proy-2024-habilita,2024,Octubre,12,41,integración,alta,1
334,Proy-2024-habilita,2024,Octubre,17,42,sistema,nula,0
335,Proy-2024-habilita,2024,Octubre,19,42,sistema,nula,0
336,Proy-2024-habilita,2024,Octubre,23,43,integración,crítica,1
337,Proy-2024-habilita,2024,Octubre,24,43,integración,crítica,1
338,Proy-2024-habilita,2024,Octubre,30,44,sistema,nula,0
339,Proy-2024-habilita,2024,Noviembre,2,44,integración,nula,0
340,Proy-2024-habilita,2024,Noviembre,4,45,integración,media,1
341,Proy-2024-habilita,2024,Noviembre,8,45,integración,nula,0
342,Proy-2024-habilita,2024,Noviembre,8,45,sistema,nula,0
343,Proy-2024-habilita,2024,Noviembre,10,45,sistema,nula,0
344,Proy-2024-habilita,2024,Noviembre,13,46,integración,nula,0
345,Proy-2024-habilita,2024,Noviembre,14,46,integración,alta,1
346,Proy-2024-habilita,2024,Noviembre,14,46,sistema,alta,1
347,Proy-2024-habilita,2024,Noviembre,17,46,integración,nula,0
348,Proy-2024-habilita,2024,Noviembre,18,47,integración,nula,0
349,Proy-2024-habilita,2024,Noviembre,20,47,integración,baja,1
350,Proy-2024-habilita,2024,Noviembre,20,47,sistema,nula,0
351,Proy-2024-habilita,2024,Noviembre,21,47,sistema,nula,0
352,Proy-2024-habilita,2024,Noviembre,25,48,integración,media,1
353,Proy-2024-habilita,2024,Noviembre,28,48,integración,nula,0
354,Proy-2024-habilita,2024,Noviembre,29,48,integración,nula,0
355,Proy-2024-habilita,2024,Noviembre,30,48,sistema,nula,0
356,Proy-2024-habilita,2024,Diciembre,6,49,integración,nula,0
357,Proy-2024-habilita,2024,Diciembre,7,49,integración,nula,0
358,Proy-2024-habilita,2024,Diciembre,8,49,integración,nula,0
359,Proy-2024-habilita,2024,Diciembre,9,50,integración,nula,0
360,Proy-2024-habilita,2024,Diciembre,9,50,sistema,nula,0
361,Proy-2024-habilita,2024,Diciembre,10,50,integración,nula,0
362,Proy-2024-habilita,2024,Diciembre,11,50,sistema,nula,0
363,Proy-2024-habilita,2024,Diciembre,17,51,sistema,nula,0
364,Proy-2024-habilita,2024,Diciembre,18,51,sistema,media,1
365,Proy-2024-habilita,2024,Diciembre,19,51,sistema,nula,0
366,Proy-2024-habilita,2024,Diciembre,20,51,sistema,nula,0
367,Proy-2024-habilita,2024,Diciembre,25,52,integración,nula,0
368,Proy-2024-habilita,2024,Diciembre,26,52,sistema,nula,0
369,Proy-2024-habilita,2024,Diciembre,27,52,integración,nula,0
370,Proy-2024-habilita,2024,Diciembre,28,52,sistema,crítica,1
371,Proy-2024-habilita,2024,Diciembre,30,1,sistema,nula,0
372,Proy-2024-habilita,2025,Enero,2,1,integración,nula,0
373,Proy-2024-habilita,2025,Enero,9,2,integración,nula,0
374,Proy-2024-habilita,2025,Enero,9,2,sistema,nula,0
375,Proy-2024-habilita,2025,Enero,10,2,integración,nula,0
376,Proy-2024-habilita,2025,Enero,12,2,integración,nula,0
377,Proy-2024-habilita,2025,Enero,15,3,integración,nula,0
378,Proy-2024-habilita,2025,Enero,15,3,sistema,nula,0
379,Proy-2024-habilita,2025,Enero,18,3,integración,nula,0
380,Proy-2024-habilita,2025,Enero,19,3,sistema,nula,0
381,Proy-2024-habilita,2025,Enero,20,4,integración,crítica,1
382,Proy-2024-habilita,2025,Enero,21,4,integración,nula,0
383,Proy-2024-habilita,2025,Enero,22,4,sistema,nula,0
384,Proy-2024-habilita,2025,Enero,25,4,sistema,nula,0
385,Proy-2024-habilita,2025,Enero,27,5,integración,nula,0
386,Proy-2024-habilita,2025,Enero,29,5,integración,nula,0
387,Proy-2024-habilita,2025,Febrero,4,6,integración,nula,0
388,Proy-2024-habilita,2025,Febrero,6,6,integración,nula,0
389,Proy-2024-habilita,2025,Febrero,8,6,integración,alta,1
390,Proy-2024-habilita,2025,Febrero,8,6,sistema,nula,0
391,Proy-2024-habilita,2025,Febrero,9,6,sistema,nula,0
392,Proy-2024-habilita,2025,Febrero,13,7,integración,nula,0
393,Proy-2024-habilita,2025,Febrero,20,8,integración,nula,0
394,Proy-2018-empodera,2018,Junio,1,22,integración,nula,0
395,Proy-2018-empodera,2018,Julio,2,27,integración,nula,0
396,Proy-2018-empodera,2018,Julio,9,28,sistema,alta,1
397,Proy-2018-empodera,2018,Agosto,3,31,sistema,baja,1
398,Proy-2018-empodera,2018,Agosto,7,32,sistema,nula,0
399,Proy-2018-empodera,2018,Agosto,8,32,sistema,nula,0
400,Proy-2018-empodera,2018,Agosto,10,32,integración,nula,0
401,Proy-2018-empodera,2018,Agosto,11,32,sistema,nula,0
402,Proy-2018-empodera,2018,Agosto,17,33,integración,baja,1
403,Proy-2018-empodera,2018,Agosto,21,34,integración,nula,0
404,Proy-2018-empodera,2018,Agosto,21,34,sistema,nula,0
405,Proy-2018-empodera,2018,Agosto,22,34,integración,nula,0
406,Proy-2018-empodera,2018,Agosto,27,35,integración,nula,0
407,Proy-2018-empodera,2018,Agosto,30,35,sistema,nula,0
408,Proy-2018-empodera,2018,Septiembre,7,36,sistema,alta,1
409,Proy-2018-empodera,2018,Septiembre,7,36,sistema,nula,0
